511 -     1 - :kiss:
512 -     1 - :airplane_arrival:
513 -     1 - :t-shirt:
514 -     1 - :church:
515 -     1 - :wilted_flower:
516 -     1 - :stopwatch:
517 -     1 - :derelict_house:
518 -     1 - :2nd_place_medal:
519 -     1 - :videocassette:
520 -     1 - :sun_behind_rain_cloud:
521 -     1 - :money_with_wings:
522 -     1 - :left_speech_bubble:
523 -     1 - :pen:
524 -     1 - :confounded_face:
525 -     1 - :oncoming_police_car:
526 -     1 - :sneezing_face:
527 -     1 - :spiral_shell:
528 -     1 - :wheel_of_dharma:
529 -     1 - :fish_cake_with_swirl:
530 -     1 - :relieved_face:
531 -     1 - :pineapple:
532 -     1 - :balloon:
533 -     1 - :blowfish:
534 -     1 - :barber_pole:
535 -     1 - :carrot:
536 -     1 - :hammer_and_pick:
537 -     1 - :high-speed_train:
538 -     1 - :leaf_fluttering_in_wind:
539 -     1 - :guard:
540 -     1 - :baby_chick:
541 -     1 - :hatching_chick:
542 -     1 - :pouting_cat_face:
543 -     1 - :vulcan_salute:
544 -     1 - :dragon_face:
545 -     1 - :clown_face:
546 -     1 - :telephone_receiver:
547 -     1 - :maple_leaf:
548 -     1 - :girl:
549 -     1 - :mouth:
550 -     1 - :nail_polish:
551 -     1 - :black_heart:
552 -     1 - :man_with_chinese_cap:
553 -     1 - :backhand_index_pointing_down:
554 -     1 - :droplet:
555 -     1 - :p_button:
556 -     1 - :glasses:
557 -     1 - :chart_increasing_with_yen:
558 -     1 - :black_large_square:
559 -     1 - :cat_face_with_wry_smile:
560 -     1 - :kissing_cat_face_with_closed_eyes:
561 -     1 - :shrimp:
