612 -     1 - :boi:
613 -     1 - :english_flag:
614 -     1 - :treebeardadmindecisions:
615 -     1 - :rip:
616 -     1 - :dreamdrafts:
617 -     1 - :blobsmiley:
618 -     1 - :blobzipanime:
619 -     1 - :thubmsup:
620 -     1 - :red_book:
621 -     1 - :6:
622 -     1 - :169:
623 -     1 - :panda_face_:
624 -     1 - :scatmanj:
625 -     1 - :googlebee:
626 -     1 - :thinkinh:
627 -     1 - :echoleague:
628 -     1 - :blobchamp:
629 -     1 - :blobsmileopenmouth:
630 -     1 - :whitechocolate:
631 -     1 - :issuperior:
632 -     1 - :inevery:
633 -     1 - :singleway:
634 -     1 - :whitechocolatemasterrace:
635 -     1 - :crowbar:
636 -     1 - :beer:
637 -     1 - :delthinking:
638 -     1 - :blobross:
639 -     1 - :blobnomcookie:
640 -     1 - :salty:
641 -     1 - :llariki:
642 -     1 - :kingthin:
643 -     1 - :muk:
644 -     1 - :dugtrio:
645 -     1 - :megumiblush:
646 -     1 - :god:
647 -     1 - :urf:
648 -     1 - :ahem:
649 -     1 - :smack:
650 -     1 - :drafts:
651 -     1 - :xaggot:
652 -     1 - :salt:
653 -     1 - :wtf_2:
654 -     1 - :venoblb:
655 -     1 - :crybaby:
656 -     1 - :yea_test:
657 -     1 - :nay_test:
658 -     1 - :emoji:
659 -     1 - :jojostoast:
660 -     1 - :blobcouncil:
661 -     1 - :cirgasm:
662 -     1 - :blobrollingeyes:
663 -     1 - :blobkiss:
664 -     1 - :negative_squared_cross_mark:
665 -     1 - :bloblaughcry:
666 -     1 - :cowboy:
667 -     1 - :book:
668 -     1 - :gitgud:
669 -     1 - :jebpills:
670 -     1 - :bc_eyes:
671 -     1 - :blobcheeky:
672 -     1 - :blobangrysteam:
673 -     1 - :blobtilthead:
674 -     1 - :rickblob:
675 -     1 - :sealsbadman:
676 -     1 - :blobexpressionless:
677 -     1 - :shudder:
678 -     1 - :googledog:
679 -     1 - :wahhhh:
680 -     1 - :blobexdee:
681 -     1 - :46:
682 -     1 - :sealeo:
683 -     1 - :2bthinking:
684 -     1 - :llaohmy:
685 -     1 - :blobnomping:
686 -     1 - :blobweary:
687 -     1 - :monkasgun:
688 -     1 - :basicblobsmirk:
689 -     1 - :pro_team:
690 -     1 - :0:
691 -     1 - :plaut:
